도서명	분야
더 해빙(The Having)(40만부 기념 리커버 에디션)	자기계발
돈의 속성(150쇄 기념 에디션)	경제/경영
아몬드	소설
하버드 상위 1퍼센트의 비밀(리커버 에디션)	자기계발
지적 대화를 위한 넓고 얕은 지식: 제로 편	인문
존리의 부자되기 습관(20만부 기념 리커버 에디션)	경제/경영
주식투자 무작정 따라하기(2020)(개정판)	경제/경영
흔한남매. 3	어린이(초등)
해커스 토익 기출 보카 TOEIC VOCA(개정판 5판)	외국어
내가 원하는 것을 나도 모를 때	인문
달러구트 꿈 백화점	소설
데미안(리커버 한정판)(초판본)(1919년 오리지널 초판본 패브릭 에디션)	소설
1cm 다이빙	시/에세이
지쳤거나 좋아하는 게 없거나	시/에세이
김미경의 리부트	자기계발
한번도 경험해보지 못한 나라	정치/사회
트렌드 코리아 2021	경제/경영
팩트풀니스	인문
당신이 옳다(40만 부 기념 '한 사람' 리커버)	인문
보건교사 안은영(특별판)	소설
총 균 쇠	역사/문화
애쓰지 않고 편안하게	시/에세이
녹나무의 파수꾼	소설
코스모스(보급판)	과학
"1일 1페이지, 세상에서 가장 짧은 교양 수업 365"	인문
우리가 빛의 속도로 갈 수 없다면	소설
기억. 1	소설
나는 나로 살기로 했다	시/에세이
날씨가 좋으면 찾아가겠어요	소설
부의 추월차선	경제/경영
사피엔스	인문
재무제표 모르면 주식투자 절대로 하지마라(스타강사 사경인 회계사의)(개정판)	경제/경영
해커스 토익 RC 리딩(Reading)(개정판 8판)	외국어
지리의 힘	정치/사회
부의 대이동	경제/경영
페스트(세계문학전집 267)	소설
데일 카네기 인간관계론	자기계발
코로나 이후의 세계	경제/경영
보통의 언어들(별밤 리커버)(나를 숨 쉬게 하는)	시/에세이
에이트	자기계발
지적 대화를 위한 넓고 얕은 지식. 1	인문
부자 아빠 가난한 아빠. 1(20주년 특별 기념판)(개정증보판)	경제/경영
성숙한 어른이 갖춰야 할 좋은 심리 습관	자기계발
죽은 자의 집 청소	시/에세이
아내를 모자로 착각한 남자(개정판)	과학
룬샷	경제/경영
해커스 토익 LC 리스닝(Listening)(개정판 8판)	외국어
딸에게 보내는 심리학 편지(10만 부 기념 스페셜 에디션)	인문
봉제인형 살인사건	소설
이토록 공부가 재미있어지는 순간(10만 부 기념 스페셜 에디션)	청소년
꽃을 보듯 너를 본다(J.H CLASSIC 2)	시/에세이
부의 인문학	경제/경영
내일의 부. 1: 알파편	경제/경영
만남은 지겹고 이별은 지쳤다	시/에세이
추리 천재 엉덩이 탐정. 9: 세 마리 행운 고양이 사건	어린이(초등)
설민석의 한국사 대모험. 13(반양장)	어린이(초등)
트렌드 코리아 2020	경제/경영
여행의 이유	시/에세이
설민석의 삼국지. 1	인문
매우 예민한 사람들을 위한 책	인문
타인의 해석	자기계발
설민석의 조선왕조실록	역사/문화
타이탄의 도구들(리커버 에디션)	자기계발
멋진 신세계	소설
스스로 행복하라	시/에세이
"시선으로부터,"	소설
이기적 유전자(40주년 기념판)	과학
해커스 토익 스타트 리딩(Reading) RC(개정판 4판)	외국어
방구석 미술관	예술/대중문화
나미야 잡화점의 기적(2021 봄날 한정판)	소설
선량한 차별주의자	정치/사회
언컨택트	경제/경영
아주 작은 습관의 힘	자기계발
살고 싶다는 농담	시/에세이
흔한남매 안 흔한 일기. 1	어린이(초등)
언어의 온도(170만부 기념 에디션)	시/에세이
소년이 온다	소설
정의란 무엇인가(마이클 샌델)	인문
나의 하루는 4시 30분에 시작된다	자기계발
해빗(스페셜 에디션)	자기계발
마음챙김의 시	시/에세이
오래 준비해온 대답	시/에세이
아비투스	인문
공간이 만든 공간	인문
돌이킬 수 없는 약속	소설
그 환자	소설
기분이 태도가 되지 않게(10만 부 기념 봄 에디션)	자기계발
월가의 영웅(전설로 떠나는)(개정판 2판)	경제/경영
12가지 인생의 법칙(30만부 기념 리커버 에디션)	인문
시작의 기술	자기계발
지금 이대로 좋다	시/에세이
어떻게 말해줘야 할까	가정/육아
너에게만 좋은 사람이 되고 싶어(리커버 한정판)	시/에세이
트바로티 김호중	시/에세이
루팡의 딸	소설
"파타고니아, 파도가 칠 때는 서핑을"	경제/경영
나는 무조건 합격하는 공부만 한다	자기계발
